,severity_MW
236,33283.32842999161
33,25661.09029040431
204,24500.888174834807
60,13249.251940366517
266,10661.995508623724
267,10661.995508623724
269,10299.545669903808
275,10299.545669903808
84,8766.346501794178
163,7854.856644336668
119,5844.539756883966
189,4578.8828191999555
293,4574.450474802001
61,4574.450474802001
159,3880.8811936334196
67,3880.8811936334196
316,3809.925957255684
97,3808.5782511870657
34,2067.3000627013053
205,2067.3000627013053
30,2036.128174243117
50,1931.8790945160895
202,1779.8574392335684
58,1641.2018692421402
88,1605.9351736173378
217,1605.9351736173378
312,1438.4892588265511
240,1421.4462247392853
241,1421.4462247392853
145,1112.714556703164
109,1109.4341043078912
291,1109.4341043078912
274,1058.6406293571367
175,765.5540710408435
79,765.5540710408435
86,628.2621440235162
218,603.4683622314966
89,603.4683622314966
271,585.1259307610276
94,585.1259307610276
216,563.5087516710985
196,550.6179759976378
16,550.6179759976378
13,431.3076309986284
187,403.54567183853146
114,403.54567183853146
194,325.5142402402864
220,268.51651351323665
95,268.51651351323665
296,219.8567384874184
131,167.78984521227483
27,151.65436296487022
200,151.65436296487022
68,119.06237537276331
42,107.69793381387493
301,106.3550195337516
292,94.75097526005118
121,94.75097526005118
276,51.576765624107765
270,51.576765624107765
81,47.905484860455175
223,45.65579399265573
102,45.65579399265573
208,20.384571221688873
45,20.384571221688873
176,0.3169514678641576
78,0.3169514678641576
174,0.0
197,0.0
173,0.0
203,0.0
172,0.0
201,0.0
171,0.0
170,0.0
221,0.0
222,0.0
169,0.0
219,0.0
185,0.0
215,0.0
188,0.0
224,0.0
207,0.0
193,0.0
192,0.0
209,0.0
191,0.0
210,0.0
214,0.0
211,0.0
212,0.0
186,0.0
178,0.0
177,0.0
213,0.0
195,0.0
1,0.0
226,0.0
304,0.0
288,0.0
289,0.0
290,0.0
294,0.0
295,0.0
297,0.0
298,0.0
299,0.0
300,0.0
302,0.0
303,0.0
305,0.0
227,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
313,0.0
314,0.0
315,0.0
317,0.0
318,0.0
287,0.0
286,0.0
285,0.0
284,0.0
228,0.0
229,0.0
230,0.0
232,0.0
233,0.0
237,0.0
238,0.0
239,0.0
262,0.0
263,0.0
264,0.0
167,0.0
265,0.0
268,0.0
272,0.0
273,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
168,0.0
150,0.0
166,0.0
66,0.0
46,0.0
47,0.0
48,0.0
49,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
62,0.0
63,0.0
65,0.0
69,0.0
43,0.0
71,0.0
72,0.0
73,0.0
74,0.0
76,0.0
77,0.0
80,0.0
82,0.0
85,0.0
87,0.0
90,0.0
91,0.0
44,0.0
41,0.0
165,0.0
18,0.0
3,0.0
4,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
14,0.0
15,0.0
17,0.0
19,0.0
40,0.0
20,0.0
21,0.0
22,0.0
24,0.0
25,0.0
28,0.0
29,0.0
31,0.0
36,0.0
37,0.0
38,0.0
39,0.0
92,0.0
93,0.0
96,0.0
149,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
146,0.0
147,0.0
148,0.0
2,0.0
99,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
160,0.0
161,0.0
162,0.0
164,0.0
135,0.0
134,0.0
133,0.0
132,0.0
100,0.0
101,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
110,0.0
111,0.0
112,0.0
113,0.0
115,0.0
116,0.0
117,0.0
118,0.0
120,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
319,0.0
