CNEC,median_dir_dAbsFBME_dNPpred,abs_median_dir_dAbsFBME_dNPpred,n_MTUs_used
36,-0.005137174849223102,0.005137174849223102,687
37,0.006013779161617136,0.006013779161617136,687
38,0.010308433127550788,0.010308433127550788,687
39,0.03572953679346898,0.03572953679346898,687
41,0.01467086991855252,0.01467086991855252,687
42,0.012384206868994233,0.012384206868994233,687
54,0.008098057849864572,0.008098057849864572,687
55,0.0034696129916658484,0.0034696129916658484,687
60,0.023982754031292262,0.023982754031292262,687
61,0.011567444486361335,0.011567444486361335,687
62,0.0009329214694034021,0.0009329214694034021,687
63,0.0005613003014480428,0.0005613003014480428,687
65,-0.001481220493822609,0.001481220493822609,687
66,-0.0014814607240684532,0.0014814607240684532,687
67,-8.608910458706649e-05,8.608910458706649e-05,687
68,-0.0011350860560912699,0.0011350860560912699,687
69,-0.00018214818130662337,0.00018214818130662337,687
109,-0.0032910095608121087,0.0032910095608121087,687
113,-0.010581684328069194,0.010581684328069194,687
114,-0.00516939059949643,0.00516939059949643,687
116,-0.004627108753447971,0.004627108753447971,687
117,0.018193732476126843,0.018193732476126843,687
120,-0.011500329572550691,0.011500329572550691,687
121,-0.012637182442775894,0.012637182442775894,687
122,-0.00447602459705968,0.00447602459705968,687
123,-0.0008152482835817252,0.0008152482835817252,687
124,-0.001255397662005298,0.001255397662005298,687
125,0.0011342840667669086,0.0011342840667669086,687
126,0.003929529184970405,0.003929529184970405,687
127,0.005521179233780573,0.005521179233780573,687
128,0.009711688690633314,0.009711688690633314,687
129,-0.0035528612688893314,0.0035528612688893314,687
130,-0.0031491217642098676,0.0031491217642098676,687
131,-0.0221509813972982,0.0221509813972982,687
134,-0.0008609808801718008,0.0008609808801718008,687
136,-0.001798324191499856,0.001798324191499856,687
137,0.0049011562113947145,0.0049011562113947145,687
138,0.004033408401553015,0.004033408401553015,687
139,-0.0037149483412616583,0.0037149483412616583,687
141,-0.008843839091333678,0.008843839091333678,687
145,-0.012075983012774622,0.012075983012774622,687
148,0.00407584058349226,0.00407584058349226,687
150,0.01101890212802239,0.01101890212802239,687
155,0.1032014056090897,0.1032014056090897,687
158,0.0016390762808760253,0.0016390762808760253,687
159,-0.00012258042890830043,0.00012258042890830043,687
161,0.05815012541518824,0.05815012541518824,687
162,0.04506831749437101,0.04506831749437101,687
163,0.025389248930666436,0.025389248930666436,687
187,-0.005361326770293419,0.005361326770293419,687
188,-0.00418551342584229,0.00418551342584229,687
189,0.002837260399159601,0.002837260399159601,687
207,0.0059552509940288805,0.0059552509940288805,687
209,0.0006253117509612416,0.0006253117509612416,687
227,0.003906853146732073,0.003906853146732073,687
236,0.0008377568823458191,0.0008377568823458191,687
239,-0.004236845512856417,0.004236845512856417,687
269,0.014343902421902066,0.014343902421902066,687
275,0.014333190990045479,0.014333190990045479,687
284,-0.0007639524218641176,0.0007639524218641176,687
285,0.03581734489765662,0.03581734489765662,687
286,-0.011557510677131028,0.011557510677131028,687
287,0.010206161426981854,0.010206161426981854,687
290,-0.004469046719013914,0.004469046719013914,687
291,-0.0035678096683707163,0.0035678096683707163,687
292,-0.012464395313105519,0.012464395313105519,687
293,0.012593476869234342,0.012593476869234342,687
296,-0.0005929846525688172,0.0005929846525688172,687
298,-0.0037962762057232903,0.0037962762057232903,687
300,0.006438958067109103,0.006438958067109103,687
301,0.004233605382394609,0.004233605382394609,687
303,0.010885586859304143,0.010885586859304143,687
319,-0.0036568039903962417,0.0036568039903962417,687
