CNEC,median_dFlow_dNPpred
36,-6.182522446931073e-09
37,1.3249537055365456e-08
38,3.0284115514934306e-08
39,6.44668575292897e-09
41,-8.602762194788216e-10
42,-1.2015726108030958e-08
54,-3.674631400139277e-08
55,-4.354793682691805e-08
60,6.90845260289367e-08
61,1.9967545374776588e-08
62,2.9646077073701233e-09
63,-2.1439688842763264e-09
65,-3.824022826941647e-08
66,5.503864152227561e-10
67,-2.887477359126314e-09
68,-5.659156948203361e-08
69,5.527494643232306e-08
109,2.338267323486338e-08
113,-1.2113778355946274e-08
114,-3.861609611907531e-08
116,-4.375253720920302e-09
117,-2.1181653652283135e-08
120,1.4920582770367996e-08
121,5.843904634607805e-09
122,-1.5359636753082617e-08
123,-1.4781193672051426e-08
124,-1.2863615075862052e-08
125,-6.330541111676327e-09
126,-1.6831665056859383e-08
127,2.4001869085662338e-08
128,-3.152687295603278e-10
129,4.177647461699291e-08
130,-6.692928011048448e-08
131,-7.225133704450673e-08
134,6.0335466119656794e-09
136,-1.2745791085842326e-08
137,1.6903508170373642e-08
138,-9.510605738562217e-09
139,-1.5842671400153647e-08
141,-3.501574606542143e-08
145,-1.4042770382690008e-08
148,3.3906734767222026e-09
150,-2.1294419655715445e-08
155,2.29070093235031e-08
158,-7.756060203807333e-09
159,1.9909458110076666e-08
161,-1.6987062374027907e-08
162,-3.180236340973729e-08
163,-1.1118400872791146e-08
187,-3.6443094783840366e-08
188,1.6232858799765324e-08
189,-4.239634676356868e-09
207,1.2763912904126504e-08
209,-1.4626780267453368e-09
227,1.123693170610997e-08
236,5.430761802050689e-09
239,1.8570924446399476e-08
269,-1.2886334198609141e-08
275,-1.1430835544218628e-08
284,1.7434053230468876e-09
285,3.116102484980848e-09
286,9.267378583800688e-09
287,2.1037615953569343e-08
290,-1.0366838893616951e-08
291,-1.5470508322565004e-08
292,-6.485924027702304e-10
293,2.1979255469492604e-08
296,1.870262168933532e-09
298,-8.723032805977818e-09
300,-1.7373180712754886e-08
301,6.5704428213341154e-09
303,2.05634794324551e-08
319,-1.5325967146459455e-08
