CNEC,median_delta_flow_MW,median_delta_flow_per_MW
36,0.002947686748598244,0.002947686748598244
37,0.017270836719777805,0.017270836719777805
38,0.017272807162463266,0.017272807162463266
39,0.02258824010326066,0.02258824010326066
41,0.0010343865438073863,0.0010343865438073863
42,4.324547484557684e-05,4.324547484557684e-05
54,0.03340557303928904,0.03340557303928904
55,0.004569426284049882,0.004569426284049882
60,-0.0011374958403393975,-0.0011374958403393975
61,0.0005675265645663785,0.0005675265645663785
62,2.3246778729557604e-05,2.3246778729557604e-05
63,8.921019397511998e-05,8.921019397511998e-05
65,0.029235528227991026,0.029235528227991026
66,-0.00021288420201415192,-0.00021288420201415192
67,0.01713295004134352,0.01713295004134352
68,-0.023155130412007452,-0.023155130412007452
69,-1.7375092340898846e-05,-1.7375092340898846e-05
109,5.12556410869891e-05,5.12556410869891e-05
113,2.799352035509628e-05,2.799352035509628e-05
114,-0.037060315854489545,-0.037060315854489545
116,5.775153695708468e-06,5.775153695708468e-06
117,0.014630858968473603,0.014630858968473603
120,2.2130785453100543e-06,2.2130785453100543e-06
121,2.302026970824045e-06,2.302026970824045e-06
122,-0.006144579621910395,-0.006144579621910395
123,5.494097629821226e-05,5.494097629821226e-05
124,1.9639159219764224e-05,1.9639159219764224e-05
125,0.010912435979861357,0.010912435979861357
126,8.836657826805094e-05,8.836657826805094e-05
127,-0.021489011657138235,-0.021489011657138235
128,0.008601567805214927,0.008601567805214927
129,-0.0063162079799568005,-0.0063162079799568005
130,8.817026611041001e-07,8.817026611041001e-07
131,0.004084011759616146,0.004084011759616146
134,-0.024393071036683978,-0.024393071036683978
136,0.0023848301090652058,0.0023848301090652058
137,-0.014717001572044808,-0.014717001572044808
138,0.0020739239621079264,0.0020739239621079264
139,0.011501532499750056,0.011501532499750056
141,-3.6148007175995645e-05,-3.6148007175995645e-05
145,-3.563432236752817e-05,-3.563432236752817e-05
148,0.024876192337615066,0.024876192337615066
150,0.007502192973177557,0.007502192973177557
155,0.006554448053482265,0.006554448053482265
158,1.2583014097344858e-05,1.2583014097344858e-05
159,-0.01713295004134352,-0.01713295004134352
161,0.014993756833320049,0.014993756833320049
162,0.007550870205363935,0.007550870205363935
163,0.005387256001519347,0.005387256001519347
187,-0.037060315854489545,-0.037060315854489545
188,-0.02386881846215161,-0.02386881846215161
189,-0.0006822025535058174,-0.0006822025535058174
207,0.017112686041881986,0.017112686041881986
209,8.921019397511998e-05,8.921019397511998e-05
227,0.024648430603821936,0.024648430603821936
236,-0.001109499552114812,-0.001109499552114812
239,-0.02386881846215161,-0.02386881846215161
269,2.8208538971341568e-05,2.8208538971341568e-05
275,2.8208538971341568e-05,2.8208538971341568e-05
284,-0.024169727871196756,-0.024169727871196756
285,0.02258824010326066,0.02258824010326066
286,2.2130785453100543e-06,2.2130785453100543e-06
287,0.0171146587002724,0.0171146587002724
290,-0.006144579621910395,-0.006144579621910395
291,-5.12556410869891e-05,-5.12556410869891e-05
292,2.302026970824045e-06,2.302026970824045e-06
293,0.0005675265645663785,0.0005675265645663785
296,-0.025772157402286666,-0.025772157402286666
298,0.011396226528290754,0.011396226528290754
300,-0.01824726309397562,-0.01824726309397562
301,0.026282615171062673,0.026282615171062673
303,0.01824936094494234,0.01824936094494234
319,0.012151787018865434,0.012151787018865434
