variable,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr,n_obs,strategy
hourly_d1_overload_mw,0.6035429548540773,0.8838760524133435,0.6035429548540773,0.8838760524133435,8760,dynamic_gen
sum_abs_np_diff,0.8266276594030147,0.8809696553067201,0.8266276594030147,0.8809696553067201,8760,dynamic_gen
hourly_d1_overloads,0.6787183858625813,0.8624850793233932,0.6787183858625813,0.8624850793233932,8760,dynamic_gen
d0_objective,0.7513054341900115,0.8148647596104651,0.7513054341900115,0.8148647596104651,8760,dynamic_gen
max_line_loading,0.7545190396179048,0.8123180379552466,0.7545190396179048,0.8123180379552466,8760,dynamic_gen
mean_line_loading,0.5862464672799602,0.7014660485429766,0.5862464672799602,0.7014660485429766,8760,dynamic_gen
total_demand,0.48768637545897114,0.5412064917760497,0.48768637545897114,0.5412064917760497,8760,dynamic_gen
total_renewables,0.3961144657342691,0.5186078371107982,0.3961144657342691,0.5186078371107982,8760,dynamic_gen
renewable_share,0.2644195839323869,0.39000317480595525,0.2644195839323869,0.39000317480595525,8760,dynamic_gen
d1_cgm_objective,0.21966521682241133,0.22962628724785786,0.21966521682241133,0.22962628724785786,8760,dynamic_gen
n_ptdf_rows_raw,0.08441583376726025,0.20318589775715493,0.08441583376726025,0.20318589775715493,8760,dynamic_gen
n_unique_cnec_idx,0.08441583376726022,0.20318589775715493,0.08441583376726022,0.20318589775715493,8760,dynamic_gen
n_matched_lines,0.08441583376726022,0.20318589775715493,0.08441583376726022,0.20318589775715493,8760,dynamic_gen
